arrest_year,arrest_date,arrest_hour,age,race,sex,arrest_category,description,offense_location_district,PSA
2019,5/7/2019,5,26,BLACK,FEMALE,Simple Assault,Simple Assault,4D,404
2019,1/22/2019,1,30,BLACK,MALE,Simple Assault,Simple Assault,3D,304
2019,3/14/2019,5,55,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,7D,706
2019,10/9/2019,1,27,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,10/17/2019,9,36,BLACK,MALE,Traffic Violations,Permit Revoked-oar,1D,102
2019,3/9/2019,12,57,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),2D,207
2019,5/1/2019,4,26,BLACK,MALE,Weapon Violations,Carry Dangerous Weapon- Misd,6D,603
2019,6/27/2019,2,39,WHITE,FEMALE,Release Violations/Fugitive,Fugitive From Justice,4D,405
2019,4/25/2019,9,40,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,5D,506
2019,7/31/2019,8,41,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),3D,307
2019,8/31/2019,1,59,BLACK,FEMALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,7D,706
2019,1/17/2019,12,36,UNKNOWN,FEMALE,Simple Assault,Simple Assault,4D,405
2019,2/27/2019,1,27,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",1D,106
2019,1/26/2019,2,21,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",3D,301
2019,12/26/2019,9,34,BLACK,MALE,Simple Assault,Simple Assault,6D,604
2019,2/15/2019,7,21,BLACK,MALE,Release Violations/Fugitive,Probation Violation (Warrant),1D,102
2019,1/7/2019,11,28,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,7D,708
2019,3/26/2019,7,56,BLACK,MALE,Simple Assault,Simple Assault,2D,208
2019,6/30/2019,8,25,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,2D,207
2019,3/3/2019,3,24,BLACK,FEMALE,Simple Assault,Simple Assault,3D,307
2019,10/11/2019,10,23,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,6D,605
2019,1/20/2019,7,38,BLACK,MALE,Simple Assault,Simple Assault,7D,702
2019,3/11/2019,9,21,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,1D,101
2019,12/2/2019,4,40,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,5D,505
2019,10/11/2019,5,41,BLACK,MALE,Other Crimes,Unlawful Entry,3D,307
2019,2/6/2019,11,49,BLACK,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),6D,603
2019,7/26/2019,4,25,BLACK,MALE,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7D,705
2019,6/28/2019,12,38,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,5D,506
2019,10/30/2019,4,28,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,6D,601
2019,5/22/2019,5,25,BLACK,MALE,Traffic Violations,Fail To Obey Officer,5D,506
2019,6/8/2019,9,23,BLACK,FEMALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),5D,502
2019,5/4/2019,8,23,BLACK,MALE,Simple Assault,Simple Assault,4D,409
2019,3/11/2019,6,31,BLACK,FEMALE,Release Violations/Fugitive,Probation Violation (Warrant),1D,102
2019,12/29/2019,2,21,BLACK,MALE,Simple Assault,Simple Assault,7D,706
2019,9/2/2019,3,30,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),5D,505
2019,4/30/2019,4,33,UNKNOWN,FEMALE,Simple Assault,Threats To Do Bodily Harm -misd,5D,507
2019,11/19/2019,10,30,WHITE,FEMALE,Traffic Violations,No Permit,3D,306
2019,1/23/2019,12,26,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,1/7/2019,9,71,BLACK,MALE,Simple Assault,Simple Assault,7D,708
2019,8/8/2019,5,28,BLACK,FEMALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,6D,603
2019,5/25/2019,6,57,BLACK,MALE,Traffic Violations,No Permit,7D,703
2019,3/7/2019,11,53,BLACK,FEMALE,Prostitution,Sexual Solicitation,6D,608
2019,8/21/2019,3,19,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,4D,403
2019,1/10/2019,6,34,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,3D,304
2019,11/20/2019,2,32,BLACK,MALE,Property Crimes,Unlawful Entry Of A Motor Vehicle,1D,101
2019,6/12/2019,2,54,BLACK,MALE,Simple Assault,Simple Assault,6D,602
2019,1/8/2019,11,32,WHITE,FEMALE,Simple Assault,Simple Assault,1D,101
2019,6/18/2019,3,24,BLACK,MALE,Simple Assault,Simple Assault,7D,708
2019,6/12/2019,12,21,BLACK,MALE,Simple Assault,Simple Assault,4D,407
2019,11/8/2019,3,45,WHITE,MALE,Simple Assault,Simple Assault,1D,102
2019,6/3/2019,2,36,BLACK,MALE,Fraud and Financial Crimes,Credit Card Fraud-misd,1D,101
2019,11/2/2019,2,26,BLACK,FEMALE,Traffic Violations,Counterfeit Tags,7D,708
2019,8/18/2019,1,28,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,7D,706
2019,5/27/2019,3,37,BLACK,FEMALE,Theft,Theft Second Degree (all Other Larceny),5D,506
2019,12/4/2019,7,19,BLACK,MALE,Burglary,Burglary One,6D,602
2019,12/6/2019,8,40,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),1D,102
2019,7/25/2019,11,44,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (USAO),1D,102
2019,6/16/2019,6,59,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",5D,507
2019,11/6/2019,3,52,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,3/2/2019,9,52,WHITE,UNKNOWN,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,3D,305
2019,7/26/2019,7,26,BLACK,MALE,Theft,Shoplifting,2D,203
2019,10/1/2019,7,32,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,6D,604
2019,12/13/2019,5,19,BLACK,MALE,Weapon Violations,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,6D,604
2019,7/13/2019,3,30,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,5D,507
2019,5/17/2019,7,60,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,5D,506
2019,4/30/2019,10,26,BLACK,MALE,Assault with a Dangerous Weapon,Assault W/i To Kill,7D,701
2019,6/4/2019,12,35,BLACK,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,1D,105
2019,8/16/2019,8,33,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,4D,409
2019,3/11/2019,4,56,BLACK,FEMALE,Simple Assault,Simple Assault,5D,507
2019,2/10/2019,3,33,BLACK,MALE,Theft,Shoplifting,2D,206
2019,10/31/2019,1,29,BLACK,FEMALE,Simple Assault,Simple Assault,7D,708
2019,5/8/2019,5,35,BLACK,MALE,Narcotics,Poss W/i To Dist Marijuana-fel,7D,708
2019,7/4/2019,4,38,BLACK,MALE,Theft,Shoplifting,4D,402
2019,3/12/2019,7,35,BLACK,MALE,Simple Assault,Simple Assault,6D,605
2019,10/30/2019,11,24,WHITE,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,4D,406
2019,9/29/2019,8,51,BLACK,MALE,Simple Assault,Simple Assault,7D,702
2019,6/15/2019,1,74,BLACK,FEMALE,Simple Assault,Simple Assault,7D,708
2019,11/20/2019,3,32,BLACK,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",4D,402
2019,9/27/2019,2,28,WHITE,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,6D,608
2019,6/1/2019,4,57,BLACK,MALE,Simple Assault,Simple Assault,5D,501
2019,12/9/2019,3,22,BLACK,FEMALE,Simple Assault,Simple Assault,1D,102
2019,2/8/2019,12,49,BLACK,MALE,Traffic Violations,No Permit,6D,604
2019,11/6/2019,3,41,WHITE,MALE,Prostitution,Sexual Solicitation,5D,506
2019,8/26/2019,9,18,BLACK,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,7D,701
2019,11/29/2019,4,41,WHITE,MALE,Disorderly Conduct,Urinating Or Defecating In Public,1D,101
2019,2/15/2019,9,18,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,105
2019,11/30/2019,10,59,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,3D,306
2019,8/16/2019,2,66,UNKNOWN,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,2D,206
2019,8/22/2019,3,63,BLACK,MALE,Other Crimes,Unlawful Entry,4D,409
2019,12/12/2019,11,35,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,5D,507
2019,7/29/2019,7,57,BLACK,MALE,Disorderly Conduct,Panhandling - Motor Vehicle On Street,5D,506
2019,9/29/2019,2,21,WHITE,MALE,Traffic Violations,No Permit,3D,305
2019,7/3/2019,2,20,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),7D,703
2019,4/24/2019,4,50,WHITE,MALE,Theft,Theft Second Degree (theft From Building),2D,207
2019,11/26/2019,3,61,BLACK,MALE,Property Crimes,Receiving Stolen Property-misd,4D,408
2019,9/15/2019,7,31,BLACK,FEMALE,Damage to Property,Destruction Of Property Less Than $1000,6D,602
2019,7/20/2019,2,40,BLACK,MALE,Other Crimes,Violence Against A Minor (simple Assault),7D,703
2019,8/26/2019,12,33,BLACK,MALE,Burglary,Burglary One,7D,704
2019,2/5/2019,3,20,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),2D,209
2019,2/14/2019,6,61,BLACK,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,1D,106
2019,3/21/2019,8,20,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,2D,203
2019,2/25/2019,6,20,BLACK,FEMALE,Traffic Violations,Reckless Driving,5D,505
2019,5/18/2019,5,43,BLACK,FEMALE,Narcotics,Poss Of A Controlled Substance -misd,6D,602
2019,2/22/2019,4,21,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,5D,504
2019,6/6/2019,11,28,BLACK,FEMALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",7D,701
2019,1/29/2019,10,25,BLACK,FEMALE,Simple Assault,Simple Assault,7D,704
2019,1/5/2019,12,28,BLACK,MALE,Property Crimes,Receiving Stolen Property-misd,2D,207
2019,7/11/2019,8,44,BLACK,FEMALE,Theft,Theft Second Degree (theft From Building),3D,302
2019,5/22/2019,12,39,BLACK,FEMALE,Traffic Violations,No Permit,6D,602
2019,10/28/2019,1,35,WHITE,MALE,Assault on a Police Officer,Assault On A Police Officer (simple Assault),2D,206
2019,1/15/2019,2,34,BLACK,FEMALE,Narcotics,Distribution Of A Controlled Substance,3D,308
2019,4/22/2019,6,35,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,7D,705
2019,12/27/2019,3,52,BLACK,FEMALE,Narcotics,Possession Of Drug Paraphernalia,6D,607
2019,11/6/2019,4,55,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,7D,705
2019,8/30/2019,5,39,BLACK,FEMALE,Vending Violations,Sale Of Tobacco To Minor,4D,403
2019,12/13/2019,10,19,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,6D,604
2019,3/13/2019,8,62,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,5D,502
2019,5/27/2019,3,31,BLACK,MALE,Simple Assault,Simple Assault,6D,602
2019,8/21/2019,4,40,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),1D,102
2019,1/4/2019,1,36,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -felony,6D,604
2019,3/14/2019,6,41,BLACK,FEMALE,Release Violations/Fugitive,Bench Warrant,1D,102
2019,11/15/2019,10,27,WHITE,MALE,Sex Offenses,Sex Abuse- Misd,1D,106
2019,10/17/2019,7,72,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -misd,3D,304
2019,7/30/2019,10,43,WHITE,MALE,Traffic Violations,No Permit,3D,308
2019,4/3/2019,11,45,BLACK,MALE,Prostitution,Sexual Solicitation,6D,607
2019,5/23/2019,5,43,BLACK,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,5D,501
2019,3/15/2019,8,45,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,6D,605
2019,5/13/2019,8,48,BLACK,FEMALE,Traffic Violations,No Permit,6D,606
2019,8/16/2019,8,31,BLACK,MALE,Traffic Violations,Operation of all-terrain vehicles and dirt bikes,4D,406
2019,3/2/2019,11,20,WHITE,FEMALE,Other Crimes,Misrepresent Age To Enter Abc Establishment,2D,208
2019,9/7/2019,8,39,WHITE,MALE,Simple Assault,Threats To Do Bodily Harm -misd,4D,402
2019,9/19/2019,11,56,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,2D,207
2019,8/30/2019,9,24,BLACK,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,4D,408
2019,5/15/2019,3,26,BLACK,MALE,Traffic Violations,No Permit,6D,605
2019,8/10/2019,12,28,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),4D,409
2019,3/20/2019,12,41,BLACK,FEMALE,Prostitution,Sexual Solicitation,6D,607
2019,10/6/2019,1,22,BLACK,MALE,Simple Assault,Simple Assault,3D,308
2019,7/12/2019,5,31,BLACK,FEMALE,Release Violations/Fugitive,Bail Reform Act -felony,7D,701
2019,6/9/2019,10,25,BLACK,MALE,Aggravated Assault,Aggravated Assault,6D,604
2019,4/20/2019,5,31,BLACK,FEMALE,Simple Assault,Simple Assault,1D,106
2019,12/3/2019,3,63,BLACK,MALE,Simple Assault,Threats To Kidnap/injure A Person/damage Property,4D,405
2019,10/26/2019,9,26,BLACK,MALE,Weapon Violations,Possession Of A Large Capacity Ammunition Feeding Device (and),4D,403
2019,5/13/2019,7,58,BLACK,MALE,Simple Assault,Simple Assault,6D,602
2019,2/12/2019,9,49,BLACK,MALE,Disorderly Conduct,Illegal Dumping,7D,702
2019,1/10/2019,4,24,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,4D,403
2019,2/6/2019,3,40,BLACK,MALE,Property Crimes,Receiving Stolen Property,3D,301
2019,7/12/2019,10,53,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,6/22/2019,2,42,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,3D,302
2019,11/11/2019,11,37,BLACK,MALE,Simple Assault,Simple Assault,6D,603
2019,2/6/2019,11,54,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),7D,706
2019,12/10/2019,9,19,BLACK,MALE,Homicide,Murder I,7D,705
2019,8/3/2019,7,25,BLACK,MALE,Property Crimes,Receiving Stolen Property-misd,4D,403
2019,12/4/2019,7,41,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,1D,106
2019,3/31/2019,9,27,BLACK,FEMALE,Simple Assault,Simple Assault,7D,702
2019,10/15/2019,3,69,WHITE,FEMALE,Simple Assault,Simple Assault,2D,206
2019,9/21/2019,3,32,BLACK,FEMALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,3D,306
2019,7/22/2019,2,27,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,4D,405
2019,7/18/2019,4,47,BLACK,FEMALE,Release Violations/Fugitive,Failure To Appear (OAG),5D,501
2019,9/11/2019,11,32,BLACK,MALE,Release Violations/Fugitive,Failure To Appear (OAG),1D,102
2019,5/14/2019,9,39,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,5D,506
2019,6/7/2019,10,41,BLACK,MALE,Driving/Boating While Intoxicated,Driving Under Influence -2nd Off,6D,606
2019,5/24/2019,7,22,WHITE,FEMALE,Traffic Violations,No Permit,4D,404
2019,10/26/2019,11,31,BLACK,MALE,Simple Assault,Simple Assault,5D,506
2019,11/5/2019,9,35,UNKNOWN,MALE,Offenses Against Family & Children,"Lewd, Indecent, Or Obscene Acts (disorderly Conduct)",3D,303
2019,6/15/2019,10,40,BLACK,MALE,Liquor Law Violations,Possession Of Open Container Of Alcohol - Vehicle,4D,403
2019,11/21/2019,9,41,BLACK,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,7D,701
2019,5/31/2019,2,39,WHITE,MALE,Simple Assault,Simple Assault,3D,303
2019,8/25/2019,3,48,BLACK,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,5D,502
2019,9/28/2019,3,38,WHITE,MALE,Traffic Violations,No Permit,4D,406
2019,4/9/2019,4,31,WHITE,MALE,Prostitution,Sexual Solicitation,4D,408
2019,6/5/2019,6,30,BLACK,MALE,Other Crimes,Unlawful Entry,7D,704
2019,6/4/2019,11,65,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,3/10/2019,8,29,BLACK,MALE,Traffic Violations,No Permit,6D,608
2019,3/16/2019,6,27,BLACK,MALE,Simple Assault,Simple Assault,2D,207
2019,6/20/2019,6,37,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,9/10/2019,3,30,BLACK,MALE,Narcotics,Distribution Of Marijuana-misd,7D,708
2019,1/19/2019,1,32,BLACK,MALE,Other Crimes,Unlawful Entry,3D,303
2019,6/15/2019,7,28,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),3D,302
2019,6/26/2019,8,24,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),1D,102
2019,10/2/2019,3,30,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),5D,505
2019,11/10/2019,12,27,BLACK,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,3D,305
2019,8/31/2019,2,49,BLACK,MALE,Traffic Violations,No Permit,6D,602
2019,2/11/2019,9,29,BLACK,FEMALE,Offenses Against Family & Children,Second Degree Cruelty To Children (simple Assault),6D,605
2019,10/21/2019,10,21,BLACK,MALE,Release Violations/Fugitive,Parole Violation (Warrant),1D,102
2019,12/18/2019,9,31,BLACK,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),7D,707
2019,7/31/2019,9,19,BLACK,MALE,Narcotics,Consumption of marijuana in public space prohibited,7D,702
2019,6/5/2019,9,46,UNKNOWN,MALE,Simple Assault,Threats To Kidnap/injure A Person/damage Property,5D,505
2019,11/14/2019,6,36,BLACK,FEMALE,Simple Assault,Simple Assault,7D,706
2019,3/27/2019,1,55,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,8/28/2019,12,26,BLACK,MALE,Traffic Violations,No Permit,1D,101
2019,5/16/2019,7,33,BLACK,FEMALE,Simple Assault,Simple Assault,7D,706
2019,3/25/2019,8,25,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,107
2019,5/14/2019,5,34,BLACK,MALE,Property Crimes,Unauthorized Use Of A Vehicle,6D,602
2019,5/21/2019,2,30,BLACK,MALE,Offenses Against Family & Children,Stalking - Misd,2D,207
2019,10/10/2019,12,49,WHITE,MALE,Prostitution,Sexual Solicitation,3D,307
2019,10/10/2019,10,39,BLACK,MALE,Disorderly Conduct,"Disorderly, Noise At Night",1D,106
2019,2/19/2019,5,47,BLACK,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),5D,505
2019,8/16/2019,5,20,WHITE,FEMALE,Sex Offenses,"Sex Trafficking Of Children Or By Force, Fraud, Or Coercion (human Trafficking, Commercial Sex Acts)",2D,204
2019,1/31/2019,9,23,WHITE,MALE,Prostitution,Sexual Solicitation,2D,208
2019,11/7/2019,8,21,UNKNOWN,MALE,Traffic Violations,No Permit,3D,305
2019,1/18/2019,11,22,BLACK,MALE,Narcotics,Poss Of A Controlled Substance -felony,7D,706
2019,1/20/2019,5,25,BLACK,FEMALE,Simple Assault,Simple Assault,5D,507
2019,4/12/2019,3,37,WHITE,MALE,Simple Assault,Simple Assault,4D,405
2019,9/9/2019,7,40,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,7D,702
2019,4/3/2019,4,33,BLACK,MALE,Traffic Violations,No Permit,4D,403
2019,3/13/2019,1,48,WHITE,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,2D,202
2019,12/3/2019,10,27,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,7/5/2019,8,22,BLACK,MALE,Damage to Property,Destruction Of Property Less Than $1000,1D,101
2019,8/14/2019,11,45,BLACK,MALE,Simple Assault,Threats To Do Bodily Harm -misd,7D,703
2019,7/11/2019,7,27,WHITE,MALE,Sex Abuse,First Degree Sexual Abuse,1D,101
2019,2/10/2019,8,36,BLACK,MALE,Assault on a Police Officer,Assault On A Police Officer (simple Assault),7D,701
2019,12/9/2019,3,25,BLACK,FEMALE,Simple Assault,Simple Assault,1D,102
2019,8/29/2019,9,18,BLACK,FEMALE,Simple Assault,Simple Assault,7D,707
2019,10/22/2019,6,42,WHITE,MALE,Property Crimes,Unlawful Entry Of A Motor Vehicle,5D,505
2019,7/1/2019,1,57,BLACK,MALE,Theft,Theft Second Degree (all Other Larceny),2D,209
2019,10/4/2019,2,46,BLACK,MALE,Other Crimes,Unlawful Entry,7D,706
2019,8/4/2019,7,38,BLACK,MALE,Traffic Violations,Operation of all-terrain vehicles and dirt bikes,7D,701
2019,3/26/2019,11,36,BLACK,FEMALE,Simple Assault,Simple Assault,5D,503
2019,1/8/2019,10,34,BLACK,MALE,Prostitution,Sexual Solicitation,6D,608
2019,11/28/2019,12,42,BLACK,MALE,Prostitution,Sexual Solicitation,5D,506
2019,10/9/2019,1,25,BLACK,MALE,Release Violations/Fugitive,Fugitive From Justice,1D,102
2019,11/18/2019,11,39,BLACK,FEMALE,Simple Assault,Simple Assault,3D,308
2019,3/19/2019,9,26,BLACK,FEMALE,Simple Assault,Simple Assault,7D,705
2019,4/24/2019,12,49,BLACK,MALE,Fraud and Financial Crimes,Uttering,1D,106
2019,1/6/2019,9,24,BLACK,MALE,Weapon Violations,Unlawful Possession Of A Firearm,5D,507
2019,9/9/2019,5,55,BLACK,MALE,Narcotics,Distribution Of A Controlled Substance,6D,604
2019,7/20/2019,5,26,UNKNOWN,MALE,Other Crimes,Unlawful Entry,3D,302
2019,10/13/2019,3,31,BLACK,MALE,Traffic Violations,No Permit,1D,108
2019,10/24/2019,10,20,BLACK,MALE,Simple Assault,Simple Assault,5D,503
2019,11/8/2019,8,22,BLACK,MALE,Traffic Violations,No Permit,7D,704
2019,11/10/2019,11,46,BLACK,MALE,Simple Assault,Simple Assault,6D,602
2019,11/21/2019,12,35,BLACK,MALE,Prostitution,Sexual Solicitation,7D,706
2019,3/5/2019,2,50,BLACK,MALE,Simple Assault,Simple Assault,5D,507
2019,6/1/2019,1,22,BLACK,FEMALE,Other Crimes,Unlawful Entry,3D,305
2019,9/23/2019,8,19,WHITE,MALE,Other Crimes,"Crowding, Obstructing, or Incommoding (M)",1D,101
2019,7/8/2019,1,25,BLACK,MALE,Assault on a Police Officer,Assault On A Police Officer (simple Assault),7D,702
2019,2/1/2019,11,19,WHITE,FEMALE,Other Crimes,Misrepresent Age To Enter Abc Establishment,3D,303
2019,5/4/2019,12,40,BLACK,MALE,Simple Assault,Simple Assault,1D,105
2019,9/18/2019,2,38,BLACK,MALE,Simple Assault,Simple Assault,1D,107
2019,8/8/2019,9,29,BLACK,FEMALE,Offenses Against Family & Children,Second Degree Cruelty To Children Grave Risk,6D,608
2019,7/13/2019,3,58,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,5D,506
2019,7/13/2019,3,21,BLACK,MALE,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7D,707
2019,8/3/2019,1,21,BLACK,MALE,Release Violations/Fugitive,Bench Warrant,1D,105
2019,8/5/2019,3,56,BLACK,MALE,Simple Assault,Simple Assault,7D,703
2019,10/29/2019,7,37,BLACK,MALE,Traffic Violations,Permit Revoked-oar,6D,604
2019,7/7/2019,10,24,BLACK,MALE,Simple Assault,Simple Assault,3D,302
2019,8/28/2019,12,39,UNKNOWN,MALE,Traffic Violations,No Permit,2D,206
2019,7/9/2019,8,38,WHITE,FEMALE,Other Crimes,Unlawful Entry,3D,302
